998	129	11	37.2
361	110	21	11.02
107	819	59	244.52
927	9	200	1945.22
855	103	46	94.27
6683	102	3	5.85
1191	106	8	5.37
525	787	4	25.15
2728	108	4	9.31
1997	814	6	67.4
703	117	20	53.97
101	9827	3	5.55
397	200	10	31.48
145	106	367	394.9
2379	106	6	11.12
3301	106	6	16.15
7876	9	9	93.63
3044	1240	3	36.52
15160	103	3	20.91
348	308	3	5.69
101	6042	5	7.38
8	1045	6	10.91
108	9356	4	26
106	6500	4	15.69
1785	288	84	1254.35
124	721	5	5.33
8	17222	3	30.95
1114	124	6	13.85
10823	2770	3	56.6
828	143	3	4.41
410	572	6	33.01
106	496	111	343.21
124	765	5	5.86
166	145	20	11.04
1350	103	11	8.59
3288	112	4	13.46
3704	9620	3	58.11
101	6162	7	15.4
348	108	22	8.99
6058	1990	6	105.53
490	141	6	8.09
1069	124	10	31.51
352	763	5	27.55
251	171	11	16.85
112	6883	7	49.91
571	150	10	29.4
1033	129	4	6.63
390	110	21	14.34
630	17	4	10.05
3162	102	5	4.53
1656	117	8	26.32
111	3515	4	13.24
774	108	9	6.4
6843	103	3	7.97
105	3353	11	38.89
15	507	27	143.57
251	102	99	10.44
125	1265	5	11.88
102	7814	4	11.77
108	2214	20	102.05
11744	101	3	8
1372	1102	3	28.15
101	9117	5	13.9
220	4919	3	25.34
10007	105	6	38.22
101	15173	3	14.34
103	112	2597	3949.9
2093	160	4	20.88
4852	102	4	6.16
169	124	54	58.86
518	1516	3	22.75
3175	103	7	14.76
101	2639	16	22.17
119	4524	4	19.81
4712	106	3	7.03
263	103	128	104.7
294	1161	19	165.61
1551	117	3	4.19
103	158	452	575.69
628	3309	7	85.95
109	3134	3	6.84
101	4709	7	9.42
207	839	13	76.51
901	102	25	15
379	108	48	80.53
13945	9	4	41.61
119	2553	3	8.23
1327	449	3	20.38
415	261	5	14.49
10628	3786	5	108.15
123	676	264	2469.34
103	6358	5	18.02
495	378	3	10.77
9159	103	3	10.63
534	260	15	85.24
9879	794	7	125.79
108	7141	5	29.35
3115	621	4	43.43
718	659	3	18.48
105	2007	10	19.15
57	280	29	120.86
10378	12	3	10.01
247	347	4	7.69
1638	1027	10	122.76
368	298	5	14.38
9524	12	3	8.87
118	356	70	228.45
57	230	27	91.79
101	12498	3	8
318	535	328	4450.72
761	8805	3	42.88
3009	12	7	8.32
5645	14	6	17.03
112	2472	4	10.44
132	790	7	15.07
1896	3479	3	41.78
6582	14	3	5.97
5775	12	3	4.23
1266	125	3	4.54
3794	111	7	33.31
748	104	20	11.62
958	537	4	27.71
2370	14	11	17.34
2721	104	5	6.34
6965	12	3	5.95
109	267	66	89.33
130	7381	4	30.85
130	1323	28	173.4
112	14494	4	37.78
103	4967	3	5.33
133	6535	4	29.19
101	410	178	152.88
869	384	5	30.73
2351	12	7	4.85
5730	8	3	16.08
119	761	12	24.59
3805	109	3	8.55
109	140	113	29.95
159	155	39	66.64
1709	109	7	15.64
101	485	93	33.26
1179	12	30	38.75
4	1914	7	67.55
1465	104	9	7.18
555	142	9	20.91
5658	12	3	3.91
4609	12	5	8.62
2988	14	9	16.11
357	104	45	13.13
6343	7	13	174.86
101	560	157	218.97
1022	14	15	3.99
6634	11021	6	148.97
231	966	3	11.36
1999	8	3	6.95
336	1165	6	41.08
911	128	5	8.49
2071	14	19	43.14
105	1634	23	65.92
168	2622	3	16.49
132	1044	17	77.75
142	330	17	34.67
12	10023	3	8.87
9173	14	7	43.5
57	365	5	8.82
12	16188	3	18.03
230	356	4	6.89
9402	12	4	14.78
101	10658	5	18.69
114	2790	5	17.78
182	1483	7	40.69
8281	12	4	12.18
204	14039	3	36.62
540	116	11	11.26
3019	16	3	12.9
430	147	9	17.09
7640	14	3	7.07
1938	12	14	18.76
